"","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"SLI",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2011-12-27,0.2
"SLT",,,,1,1,1,,0,1,1,2004,2010,6,0,6,0,2020-01-02,0
"SMB",0,1,1,1,1,1,0,1,1,1,2001,2010,10,0,10,0,2010-05-09,0
"SNW",,0,,,0,1,0,0,0,1,2002,2010,7,3,4,0,2018-12-17,0
"SOG",,,1,1,1,1,1,1,1,1,2003,2010,8,0,8,1,2022-08-14,0.125
"SPE",,,1,1,1,1,1,1,1,1,2003,2010,8,0,8,0,2021-09-20,0
"SPO",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,0,2012-04-01,0
"SRP",0,0,0,1,1,1,1,0,0,0,2001,2010,10,6,4,0,2015-06-26,0
"SUD",1,1,1,1,,,,,,,2001,2004,4,0,4,0,2004-02-15,0
"SUR",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,3,2019-04-13,0.3
"SVD",,1,1,1,1,1,1,0,1,1,2002,2010,9,0,9,0,2020-01-02,0
"TAF",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-04-09,0.2
"TAI",1,1,1,1,1,1,0,1,1,1,2001,2010,10,0,10,1,2008-12-24,0.1
"TAL",,,,1,1,1,1,1,1,1,2004,2010,7,0,7,0,2020-01-17,0
"TAM",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2020-01-01,0.2
"TAP",0,1,1,0,0,0,0,0,0,1,2001,2010,10,6,4,0,2010-05-14,0
"TBA",1,1,1,1,1,,,,,,2001,2005,5,0,5,0,2005-02-20,0
"THU",1,1,1,0,0,1,0,0,0,0,2001,2010,10,4,6,0,2018-12-17,0
"TOR",0,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,1,2022-08-06,0.1
"TRY",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2015-04-17,0.1
"TST",0,0,0,,,,1,1,1,1,2001,2010,7,3,4,1,2018-12-17,0.25
"TUK",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,2,2016-03-19,0.2
"TUL",,,,,,1,1,1,1,1,2006,2010,5,0,5,0,2020-01-02,0
"TUN",0,1,1,1,1,1,1,0,0,0,2001,2010,10,3,7,1,2021-07-21,0.142857142857143
"UMM",,0,0,0,1,1,1,1,1,0,2002,2010,9,3,6,1,2014-12-31,0.166666666666667
"URP",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,1,2010-10-21,0.1
"UVE",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,1,2016-03-03,0.1
"VAM",1,1,1,1,1,,,1,,,2001,2008,6,0,6,0,2008-07-20,0
"VEC",0,1,1,1,1,1,1,0,0,0,2001,2010,10,3,7,0,2012-07-14,0
"VEG",,,0,0,1,1,1,0,0,1,2003,2010,8,0,8,0,2018-12-28,0
"WAC",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,0,2020-12-03,0
"WAN",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2012-05-06,0.1
"WED",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2010-04-11,0.1
"WEL",0,1,0,1,1,1,0,1,0,1,2001,2010,10,0,10,0,2011-01-28,0
"WHL",,,1,1,1,1,1,1,1,1,2003,2010,8,0,8,1,2016-07-23,0.125
"WHT",,,,1,0,1,0,0,1,1,2004,2010,7,0,7,0,2020-05-17,0
"WLB",1,1,1,1,1,0,1,0,1,0,2001,2010,10,0,10,1,2015-01-04,0.1
"WNG",,1,1,1,1,1,1,1,1,1,2002,2010,9,0,9,2,2020-11-20,0.222222222222222
"WOM",1,1,1,1,1,1,1,1,,,2001,2008,8,0,8,0,2008-01-17,0
"WYL",1,1,1,1,1,1,1,0,0,1,2001,2010,10,0,10,1,2011-06-27,0.1
"ZIP",1,1,1,1,1,1,1,1,1,1,2001,2010,10,0,10,1,2017-08-04,0.1
"ZOE",1,1,1,1,,,0,0,0,1,2001,2010,8,3,5,0,2011-04-09,0
