"","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","y2019","startrepro","stoprepro","totalyears","gaps","goodyears","survivingcalves","last_sighting","calving_success"
"PSI",1,1,1,0,1,1,,,0,1,,2009,2018,8,0,8,1,2018-08-31,0.125
"PUC",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,1,2018-11-12,0.1
"PZL",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-10-09,0.0909090909090909
"PZZ",1,1,1,1,,,0,0,1,0,1,2009,2019,9,0,9,1,2019-05-28,0.111111111111111
"RAP",1,1,1,1,1,0,1,,,,,2009,2015,7,0,7,1,2015-08-06,0.142857142857143
"RBD",,1,1,1,1,1,1,0,1,1,1,2010,2019,10,0,10,0,2019-07-17,0
"REG",1,1,1,1,1,1,1,0,1,,,2009,2017,9,0,9,2,2019-06-12,0.222222222222222
"RHO",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2020-02-27,0.0909090909090909
"RHY",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,1,2018-06-27,0.111111111111111
"RIP",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-12-07,0.0909090909090909
"RSH",1,1,1,1,1,1,1,,,,,2009,2015,7,0,7,2,2015-09-09,0.285714285714286
"RSO",,,,,1,1,1,1,1,1,1,2013,2019,7,0,7,1,2020-02-19,0.142857142857143
"SAS",1,1,1,1,1,,,,,,,2009,2013,5,0,5,0,2013-11-11,0
"SBA",1,1,0,0,1,0,1,1,,,,2009,2016,8,0,8,1,2016-06-19,0.125
"SCA",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,2,2017-07-22,0.222222222222222
"SCH",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2015-06-03,0.25
"SCS",1,1,1,1,0,1,,,,,,2009,2014,6,0,6,1,2014-06-30,0.166666666666667
"SCT",1,1,1,1,1,0,1,1,,,,2009,2016,8,0,8,1,2016-10-07,0.125
"SEQ",,1,1,1,1,1,1,1,,,,2010,2016,7,0,7,0,2016-10-13,0
"SHB",,,,,,0,1,1,0,0,1,2014,2019,6,0,6,0,2019-07-18,0
"SHC",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,2,2018-07-26,0.2
"SHO",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2020-02-19,0.181818181818182
"SKF",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-12-07,0.0909090909090909
"SLT",1,1,1,1,1,1,1,1,1,0,1,2009,2019,11,0,11,1,2019-07-03,0.0909090909090909
"SNW",1,0,1,1,1,1,1,1,0,,,2009,2017,9,0,9,1,2018-06-17,0.111111111111111
"SOG",1,1,1,1,1,1,1,1,,,,2009,2016,8,0,8,2,2020-02-26,0.25
"SOP",,,0,0,0,0,1,1,1,0,1,2011,2019,9,4,5,0,2019-08-05,0
"SPE",1,1,1,1,1,1,1,1,,,,2009,2016,8,0,8,2,2019-07-17,0.25
"STV",,0,0,0,1,1,1,1,1,0,1,2010,2019,10,3,7,0,2019-07-18,0
"SUM",0,1,1,1,1,1,1,0,,,,2009,2016,8,0,8,1,2019-06-08,0.125
"SUP",,,,,1,1,1,1,,,,2013,2016,4,0,4,0,2019-06-27,0
"SUR",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,2,2018-10-12,0.2
"SVD",1,1,1,1,1,0,1,1,1,1,1,2009,2019,11,0,11,1,2019-07-03,0.0909090909090909
"TAF",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-10-09,0.0909090909090909
"TAL",1,1,1,1,1,1,1,1,1,0,1,2009,2019,11,0,11,0,2019-07-18,0
"TAM",1,1,1,1,1,1,1,1,0,0,1,2009,2019,11,0,11,2,2019-07-02,0.181818181818182
"TAW",,,1,1,1,1,1,1,1,1,1,2011,2019,9,0,9,2,2020-02-19,0.222222222222222
"TDO",,,,,1,1,1,1,1,1,,2013,2018,6,0,6,0,2018-09-16,0
"THU",0,0,,,,0,1,0,0,,,2009,2017,6,0,6,0,2018-06-17,0
"TOG",,,,,1,0,1,1,1,1,1,2013,2019,7,0,7,0,2019-11-16,0
"TOR",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,2,2018-08-26,0.222222222222222
"TRY",1,1,1,1,1,1,,,,,,2009,2014,6,0,6,0,2014-10-16,0
"TST",1,1,1,1,1,1,1,1,0,1,,2009,2018,10,0,10,2,2018-06-17,0.2
"TUK",1,1,1,1,1,1,1,1,,,,2009,2016,8,0,8,1,2015-09-18,0.125
"TUL",1,1,1,1,1,1,1,1,0,1,1,2009,2019,11,0,11,2,2019-07-03,0.181818181818182
"TUN",0,1,1,1,1,1,,,,,,2009,2014,6,0,6,1,2013-11-30,0.166666666666667
"UMM",1,0,1,1,1,1,,,,,,2009,2014,6,0,6,1,2014-07-01,0.166666666666667
"UVE",1,1,0,1,1,1,1,1,,,,2009,2016,8,0,8,1,2015-09-02,0.125
"VBE",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,0,2019-10-29,0
"VEC",0,1,1,1,,,,,,,,2009,2012,4,0,4,0,2012-01-13,0
"WAC",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-07-17,0.0909090909090909
"WAN",1,1,1,1,1,,,,,,,2009,2013,5,0,5,1,2011-11-05,0.2
"WHE",,,0,1,1,1,1,1,,,,2011,2016,6,0,6,1,2019-08-05,0.166666666666667
"WHL",1,1,1,1,1,1,1,1,,,,2009,2016,8,0,8,2,2016-01-22,0.25
"WHN",,,,,1,1,1,1,1,1,,2013,2018,6,0,6,0,2019-07-16,0
"WHO",,1,1,1,1,1,1,1,1,1,1,2010,2019,10,0,10,1,2019-07-03,0.1
"WHT",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,2,2019-11-16,0.181818181818182
"WLV",,,1,1,1,1,1,1,1,1,1,2011,2019,9,0,9,1,2020-02-26,0.111111111111111
"WNG",1,1,1,1,1,1,1,1,1,1,,2009,2018,10,0,10,4,2019-10-03,0.4
"WOF",1,1,1,1,1,1,1,1,1,1,1,2009,2019,11,0,11,1,2019-12-02,0.0909090909090909
"WWF",1,1,1,1,,,,,,,,2009,2012,4,0,4,1,2012-07-07,0.25
"ZEP",,,1,1,1,1,1,1,1,1,1,2011,2019,9,0,9,1,2020-02-26,0.111111111111111
"ZIO",0,1,1,1,1,0,,,,,,2009,2014,6,0,6,1,2015-12-02,0.166666666666667
"ZIP",1,1,1,1,1,1,1,1,1,,,2009,2017,9,0,9,1,2017-02-02,0.111111111111111
